,,,Type,,Date,,Num,,P. O. #,,Name,,Terms,,Due Date,,Aging,,Open Balance
Current,,,,,,,,,,,,,,,,,,,
,,,General Journal,,07/14/2011,,69,,,,Old System,,,,,,,,-648.75
,,,General Journal,,07/26/2011,,108,,,,Old System,,,,,,,,"-17,971.13"
,,,General Journal,,07/26/2011,,109,,,,Old System,,,,,,,,-383.41
,,,General Journal,,12/08/2011,,207,,,,Old System,,,,,,,,-37.00
,,,General Journal,,12/15/2011,,204,,,,Old System,,,,,,,,-6.10
,,,General Journal,,04/01/2013,,587,,,,Old System,,,,,,,,"-1,285.11"
,,,General Journal,,04/08/2013,,594,,,,Capital Trucking,,,,,,,,153.30
,,,General Journal,,04/11/2013,,595,,,,Capital Trucking,,,,,,,,-153.30
,,,General Journal,,03/31/2022,,2563,,,,A & A Sprinkler,,,,,,,,"-13,341.66"
Total > 90,,,,,,,,,,,,,,,,,,,"-13,341.66"
TOTAL,,,,,,,,,,,,,,,,,,,"609,772.89"
,,,,,,,,,,,,,,,,,,,
